"letter","ID","P1","P2","time","cell","sex","X","Y","age","animal","synapses","treatment","category","R_a","notes","days_alone","animal_or_slicing_problems"
"RMA3","2025_05_16_0004",-78.68,-17.03,0.83,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","2025_05_16_0004",-72.78,-34.33,0.92,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","2025_05_16_0004",-69.48,-38.97,1,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","2025_05_16_0004",-92.93,-59.36,1.08,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","2025_05_16_0004",-72.2,-29.47,1.17,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","2025_05_16_0004",-80.62,-34.24,1.25,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","2025_05_16_0004",-71.75,-22.92,1.33,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","2025_05_16_0004",-31.36,-39.91,1.42,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","2025_05_16_0004",-62.42,-29.46,1.5,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","2025_05_16_0004",-27.7,-8.17,1.58,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","2025_05_16_0004",-80.06,-8.65,1.67,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","2025_05_16_0004",-48.97,-66.67,1.75,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","2025_05_16_0004",-43.56,-22.2,1.83,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","2025_05_16_0004",-60.67,-27.1,1.92,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","2025_05_16_0004",-55.73,-9.35,2,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","2025_05_16_0004",-42.75,-73.27,2.08,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","2025_05_16_0004",-23,-59.01,2.17,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","2025_05_16_0004",-38.38,-53.64,2.25,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","2025_05_16_0004",-52.02,-22.73,2.33,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","2025_05_16_0004",-45.15,-29.28,2.42,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","2025_05_16_0004",-48.89,-54.39,2.5,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","2025_05_16_0004",-84.67,-21.8,2.58,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","2025_05_16_0004",-62.79,-42.65,2.67,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","2025_05_16_0004",-38.24,-25.43,2.75,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","2025_05_16_0004",-78.77,-17.73,2.83,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","2025_05_16_0004",-62.84,-17.07,2.92,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","2025_05_16_0004",-21.98,-45.78,3,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","2025_05_16_0004",-82.69,-45.46,3.08,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","2025_05_16_0004",-72.74,-17.8,3.17,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","2025_05_16_0004",-53.65,-13.36,3.25,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","2025_05_16_0004",-29.68,-34.57,3.33,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","2025_05_16_0004",-62.94,-33.64,3.42,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","2025_05_16_0004",-77.72,-30.11,3.5,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","2025_05_16_0004",-41.41,-29.2,3.58,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","2025_05_16_0004",-52.12,-29.54,3.67,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","2025_05_16_0004",-49.04,-32.57,3.75,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","2025_05_16_0004",-34.36,-27.65,3.83,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","2025_05_16_0004",-28.66,-22.56,3.92,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","2025_05_16_0004",-71.96,-23.13,4,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","2025_05_16_0004",-49.52,-23.88,4.08,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","2025_05_16_0004",-60.86,-27.29,4.17,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","2025_05_16_0004",-48.21,-31.73,4.25,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","2025_05_16_0004",-68.26,-47.51,4.33,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","2025_05_16_0004",-80.77,-23.39,4.42,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","2025_05_16_0004",-58.6,-23.2,4.5,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","2025_05_16_0004",-15.06,-50.46,4.58,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","2025_05_16_0004",-37.46,-31.97,4.67,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","2025_05_16_0004",-17.07,-10.35,4.75,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","2025_05_16_0004",-45.73,-29.86,4.83,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","2025_05_16_0004",-46.91,-49.35,4.92,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-40.67,-23.58,5,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-35.14,-19.27,5.08,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-15.35,1.74,5.17,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-25.48,-36.47,5.25,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-24.85,-32.78,5.33,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-16.65,-30.69,5.42,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-38.45,-73.85,5.5,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-76.65,-65.66,5.58,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-40.55,-69.23,5.67,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-79.02,-21.04,5.75,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-81.96,-39.84,5.83,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-89.63,-50.57,5.92,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-123.18,-57.87,6,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-32.31,-78.08,6.08,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-45.92,-6.25,6.17,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-70.83,-39.7,6.25,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-65.7,-62.65,6.33,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-75.08,-43.95,6.42,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-85.15,-47.92,6.5,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-44.6,-56.19,6.58,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-9.53,-86.44,6.67,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-51.08,-36.44,6.75,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-83.83,-30.73,6.83,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-59.29,-61.73,6.92,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-77.42,-28.59,7,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-36.4,-48.6,7.08,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-36.4,-47.99,7.17,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-44.1,-48.37,7.25,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-20.61,-27.93,7.33,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-39.66,-25.02,7.42,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-30.1,-16.67,7.5,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-52.72,-72.86,7.58,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-30.85,-43.06,7.67,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-26.74,-31.02,7.75,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-74.06,-27.67,7.83,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-28.27,-35.59,7.92,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-48.07,-67.6,8,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-37.23,-25.02,8.08,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-18.97,-65.97,8.17,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-38.4,-54.88,8.25,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-70.64,-30.97,8.33,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-48.76,-20.69,8.42,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-87.14,-18.17,8.5,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-24.45,-45.2,8.58,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-57.62,-13.68,8.67,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-9.85,-66,8.75,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-63.01,-20.29,8.83,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-41.12,-50.27,8.92,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-79.73,-27.85,9,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-20.27,-74.59,9.08,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-26.98,-45.29,9.17,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-33.63,-70.87,9.25,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-12.62,-26.05,9.33,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-30.33,-43.15,9.42,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-9.51,-74.82,9.5,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-25.9,-38.11,9.58,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-9.03,-49.31,9.67,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-32.04,-116.27,9.75,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-15.52,-32,9.83,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
"RMA3","concatenate175",-35.27,-57.85,9.92,"2.1.2","female",154.36,558.85,32,2,"glutamate","control",2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording","1",NA
